                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.1834,                0.72746,                 0.6525,                0.85075,                 1.3811,                      1,                0.92507,                0.98906,                0.80544,                0.97214,                0.87237,                0.95426,                0.77904,                0.85786,                 1.0164,                 0.5936,                0.65977,                 1.2345,                0.00167,                0.00167,                0.00167
                     23,                  1.193,                0.73346,                0.62706,                0.84061,                 1.3289,                0.95938,                  0.975,                0.99039,                0.77656,                0.93478,                   0.95,                0.97066,                0.83835,                0.87935,                0.88099,                0.53884,                0.65972,                 1.2656,              0.0016535,              0.0016535,              0.0016535
                     24,                   1.13,                0.63981,                0.61266,                0.78567,                 1.2851,                0.98617,                   0.95,                0.99092,                0.74833,                 0.9593,                  0.925,                 0.9747,                0.83671,                0.94595,                0.87433,                0.45858,                0.69792,                 1.3076,               0.001637,               0.001637,               0.001637
                     25,                 1.1128,                0.64868,                0.59988,                0.75714,                  1.269,                0.98038,                   0.95,                0.99063,                0.75951,                0.96862,                  0.925,                 0.9639,                0.82775,                 0.9395,                 1.0215,                0.41163,                0.68946,                 1.2896,              0.0016205,              0.0016205,              0.0016205
                     26,                 1.1785,                0.76858,                0.60158,                0.81078,                 1.3142,                0.94349,                  0.975,                0.97804,                0.71404,                 0.9391,                  0.925,                 0.9129,                0.78027,                  1.041,                  1.042,                 0.4663,                0.72341,                 1.3466,               0.001604,               0.001604,               0.001604
                     27,                 1.1354,                 0.6546,                 0.6133,                0.74574,                 1.2714,                0.94953,                      1,                 0.9883,                0.71223,                0.87983,                  0.925,                0.92264,                0.77528,                 1.0024,                0.97797,                0.54841,                0.75866,                 1.2723,              0.0015875,              0.0015875,              0.0015875
                     28,                 1.0823,                0.57584,                0.60773,                0.76521,                  1.266,                0.87459,                  0.975,                0.98213,                0.74803,                0.85216,                   0.95,                0.94304,                0.79269,                0.96128,                0.85455,                0.55364,                 0.7757,                 1.2509,               0.001571,               0.001571,               0.001571
                     29,                 1.1603,                0.57849,                 0.5975,                0.76851,                 1.2677,                 0.9267,                      1,                0.99035,                  0.762,                0.90304,                  0.975,                0.96313,                0.86957,                0.94741,                0.64239,                0.52474,                0.74514,                 1.2485,              0.0015545,              0.0015545,              0.0015545
                     30,                 1.1954,                0.69077,                0.59769,                0.81227,                 1.3033,                      1,                0.91703,                0.98476,                 0.7462,                0.96284,                    0.9,                0.95312,                0.89002,                0.93562,                0.77525,                0.43635,                0.64088,                 1.2416,               0.001538,               0.001538,               0.001538
                     31,                 1.1613,                0.60425,                 0.5805,                0.81679,                 1.3114,                 0.9509,                0.96837,                0.99163,                0.78931,                0.97399,                0.93626,                  0.955,                0.87844,                0.99094,                0.81429,                0.40387,                0.62409,                 1.2587,              0.0015215,              0.0015215,              0.0015215
                     32,                 1.0952,                0.49961,                0.60937,                0.75094,                 1.2637,                0.95232,                0.99859,                 0.9928,                0.75231,                0.92851,                 0.9741,                0.95542,                0.86322,                0.98396,                0.73751,                0.36835,                0.62221,                 1.2571,               0.001505,               0.001505,               0.001505
                     33,                 1.1409,                0.46837,                0.59478,                0.73477,                 1.3122,                 0.9734,                      1,                0.99012,                0.78232,                0.94838,                  0.975,                0.94657,                0.87847,                0.93585,                 0.6886,                0.37304,                0.62612,                 1.2188,              0.0014885,              0.0014885,              0.0014885
                     34,                 1.1825,                0.51533,                0.57878,                0.79433,                 1.2568,                 0.9674,                      1,                0.99329,                0.82574,                0.91803,                   0.95,                0.94217,                0.87786,                0.90004,                0.63679,                0.39671,                0.65345,                 1.2074,               0.001472,               0.001472,               0.001472
                     35,                 1.1052,                0.59986,                0.59117,                0.73423,                  1.243,                0.98961,                  0.975,                 0.9936,                0.79662,                0.94699,                    0.9,                0.93792,                0.89061,                0.88939,                0.63768,                0.38661,                0.61909,                 1.1961,              0.0014555,              0.0014555,              0.0014555
                     36,                 1.1081,                0.54055,                0.58811,                0.72268,                 1.2332,                0.97225,                      1,                  0.995,                0.79569,                0.92332,                   0.95,                0.93974,                0.90077,                0.87919,                0.62054,                0.38747,                0.58948,                 1.2082,               0.001439,               0.001439,               0.001439
                     37,                 1.1586,                0.46452,                 0.5812,                0.73257,                 1.2975,                 0.9748,                      1,                  0.995,                0.72549,                0.92581,                   0.95,                 0.9518,                0.91793,                0.94791,                 0.5637,                0.38683,                0.57813,                 1.2848,              0.0014225,              0.0014225,              0.0014225
