                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     22,                 1.0011,                0.46662,                0.42985,                0.69061,                 1.2029,                0.95026,                0.98333,                0.98653,                0.73309,                0.92952,                0.87929,                0.91494,                0.82891,                0.93216,                0.93399,                0.10845,                0.54349,                 1.2406,                0.00167,                0.00167,                0.00167
                     23,                 1.0311,                0.49708,                0.40024,                0.69997,                 1.2281,                0.93311,                0.98333,                0.98553,                0.75691,                0.91061,                  0.875,                0.91851,                0.86341,                0.86896,                0.82597,                0.13339,                0.51376,                 1.1795,              0.0016535,              0.0016535,              0.0016535
                     24,                 1.0144,                0.43732,                0.41301,                0.68549,                 1.2354,                0.90597,                0.96355,                0.98143,                0.77376,                0.87179,                0.85833,                0.90008,                0.83128,                0.83146,                0.88852,                 0.0985,                0.48933,                 1.1582,               0.001637,               0.001637,               0.001637
                     25,                 1.0614,                0.45165,                0.38998,                0.69529,                 1.2394,                0.90731,                  0.975,                0.98057,                 0.7818,                0.86114,                0.93025,                0.90436,                0.82969,                0.85188,                0.76622,                0.14557,                0.52316,                 1.1812,              0.0016205,              0.0016205,              0.0016205
                     26,                0.98959,                0.51411,                0.37883,                0.65891,                 1.2123,                 0.9594,                0.98461,                0.99141,                0.77846,                0.86143,                0.88333,                0.89216,                0.83096,                0.84278,                 0.7505,                0.14185,                0.57917,                 1.1467,               0.001604,               0.001604,               0.001604
                     27,                 1.0105,                0.45034,                0.36249,                0.69323,                 1.2231,                0.96662,                0.96667,                0.99243,                 0.7602,                 0.9013,                0.89167,                0.92431,                0.84397,                0.86945,                0.86981,                0.09487,                0.53986,                 1.1959,              0.0015875,              0.0015875,              0.0015875
                     28,                0.96148,                0.37756,                0.34983,                0.64265,                 1.1832,                0.97496,                0.97344,                 0.9905,                0.76719,                0.90837,                0.90874,                0.95161,                0.88624,                0.86793,                0.80276,                0.10854,                0.50633,                 1.1653,               0.001571,               0.001571,               0.001571
                     29,                 0.9832,                0.41747,                 0.3341,                0.66958,                 1.1964,                0.97977,                0.99167,                0.99252,                0.78334,                0.88084,                0.89167,                0.90837,                0.84476,                0.82816,                0.99921,                   0.09,                0.49589,                 1.1364,              0.0015545,              0.0015545,              0.0015545
                     30,                0.98494,                0.50831,                0.34912,                0.65626,                 1.2152,                0.97512,                0.97988,                0.99158,                0.78218,                0.91382,                0.90833,                0.92613,                 0.8376,                0.83965,                0.85498,                0.13648,                0.50704,                 1.1878,               0.001538,               0.001538,               0.001538
                     31,                0.94069,                0.45493,                0.31222,                 0.6296,                 1.1614,                0.98624,                0.96667,                0.99187,                 0.7754,                0.91755,                    0.9,                0.89682,                0.82692,                0.84427,                 1.0006,                0.04128,                0.48177,                 1.1521,              0.0015215,              0.0015215,              0.0015215
                     32,                0.96259,                0.41922,                0.31039,                0.63545,                 1.1766,                0.95687,                0.95833,                0.97565,                0.76249,                 0.9052,                0.87533,                0.87524,                0.82749,                 0.8737,                0.94145,                0.05374,                0.53464,                  1.171,               0.001505,               0.001505,               0.001505
                     33,                0.96485,                0.41376,                 0.3074,                0.63126,                 1.1756,                0.95126,                0.97581,                0.98783,                0.80118,                0.89347,                0.91667,                0.91008,                 0.8678,                0.76155,                0.80723,                 0.0959,                 0.5948,                 1.0922,              0.0014885,              0.0014885,              0.0014885
                     34,                0.96117,                0.39477,                0.29116,                0.61274,                 1.1834,                0.94984,                0.99167,                0.98972,                0.80805,                0.90664,                0.91667,                 0.9152,                 0.8694,                0.77664,                0.68362,                0.07786,                0.42518,                 1.0846,               0.001472,               0.001472,               0.001472
                     35,                0.92773,                0.36394,                0.27259,                0.60541,                  1.168,                0.94345,                0.97317,                0.98402,                0.80144,                0.87884,                0.83333,                0.87753,                0.82753,                0.79114,                0.97829,                0.14633,                0.43222,                 1.1079,              0.0014555,              0.0014555,              0.0014555
                     36,                0.94121,                0.34641,                0.27689,                 0.6052,                 1.1601,                0.95813,                0.99167,                0.99361,                0.81062,                 0.9419,                0.91667,                0.93576,                0.88191,                0.77452,                0.71275,                0.17458,                0.44911,                 1.1031,               0.001439,               0.001439,               0.001439
                     37,                0.97091,                0.37573,                0.27502,                0.61984,                 1.1691,                0.95807,                0.94167,                0.98907,                0.76103,                0.90362,                 0.8594,                0.88665,                0.84175,                0.85963,                 0.9735,                0.13489,                0.48857,                 1.1343,              0.0014225,              0.0014225,              0.0014225
                     38,                0.94693,                0.31535,                0.24972,                 0.6138,                  1.175,                 0.9633,                0.96667,                0.99011,                0.78857,                0.88071,                0.85833,                0.88154,                0.82308,                0.79979,                0.87562,                0.07345,                0.47089,                    1.1,               0.001406,               0.001406,               0.001406
                     39,                0.91831,                0.33948,                0.27579,                0.58885,                 1.1455,                0.96337,                0.98333,                0.99175,                0.79546,                0.92328,                0.93333,                0.93506,                0.88406,                0.79788,                0.60062,                0.05834,                 0.4846,                 1.1026,              0.0013895,              0.0013895,              0.0013895
                     40,                0.89896,                0.33646,                0.22808,                0.57322,                 1.1255,                0.97491,                0.97134,                0.98879,                0.80331,                0.94003,                0.91441,                0.93041,                0.87468,                0.74964,                0.62446,                 0.0507,                0.48505,                 1.0778,               0.001373,               0.001373,               0.001373
                     41,                0.91171,                0.33104,                0.24604,                0.58526,                 1.1608,                0.98635,                0.98333,                0.99475,                0.80799,                0.92149,                    0.9,                0.90592,                0.85907,                 0.7581,                0.89105,                 0.0344,                 0.4937,                 1.0669,              0.0013565,              0.0013565,              0.0013565
                     42,                0.92496,                0.33882,                0.24092,                0.59779,                 1.1571,                0.98288,                0.99167,                0.99324,                0.79387,                0.94901,                0.93054,                0.95078,                0.90263,                0.80255,                 0.5637,                0.03389,                0.51323,                 1.0996,                0.00134,                0.00134,                0.00134
                     43,                0.90597,                0.30214,                0.25608,                0.56302,                 1.1488,                0.99163,                0.98709,                0.99483,                0.79146,                0.92492,                0.86667,                0.90231,                 0.8549,                0.82741,                0.97141,                0.03417,                0.43406,                  1.126,              0.0013235,              0.0013235,              0.0013235
